series,series_key,detector,points,flagged_points,pct_flagged_points,events,tp,fp,fn,precision,recall,event_gap,f1
ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,RollingZScore,7267,42,0.578,22,4,18,0,0.1818,1.0,2h,0.30766627178879674
ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,IsolationForest,7243,73,1.0079,23,9,14,0,0.3913,1.0,2h,0.5624955077984618
ambient_temperature_system_failure,realKnownCause/ambient_temperature_system_failure.csv,LSTM_Autoencoder,7208,546,7.5749,10,3,7,0,0.3,1.0,2h,0.4615384615384615
cpu_utilization_asg_misconfiguration,realKnownCause/cpu_utilization_asg_misconfiguration.csv,RollingZScore,18050,827,4.5817,105,9,96,0,0.0857,1.0,2h,0.1578704982960302
cpu_utilization_asg_misconfiguration,realKnownCause/cpu_utilization_asg_misconfiguration.csv,IsolationForest,18026,181,1.0041,91,17,74,0,0.1868,1.0,2h,0.3147960903269295
cpu_utilization_asg_misconfiguration,realKnownCause/cpu_utilization_asg_misconfiguration.csv,LSTM_Autoencoder,17991,842,4.6801,2,1,1,0,0.5,1.0,2h,0.6666666666666666
ec2_request_latency_system_failure,realKnownCause/ec2_request_latency_system_failure.csv,RollingZScore,4032,20,0.496,13,5,8,0,0.3846,1.0,2h,0.5555395059945111
ec2_request_latency_system_failure,realKnownCause/ec2_request_latency_system_failure.csv,IsolationForest,4008,41,1.023,11,5,6,0,0.4545,1.0,2h,0.6249570299071847
ec2_request_latency_system_failure,realKnownCause/ec2_request_latency_system_failure.csv,LSTM_Autoencoder,3973,75,1.8877,3,3,0,0,1.0,1.0,2h,1.0
machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,RollingZScore,22695,322,1.4188,102,10,92,0,0.098,1.0,2h,0.1785063752276867
machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,IsolationForest,22671,227,1.0013,35,9,26,0,0.2571,1.0,2h,0.40903667170471725
machine_temperature_system_failure,realKnownCause/machine_temperature_system_failure.csv,LSTM_Autoencoder,22636,28,0.1237,1,1,0,3,1.0,0.25,2h,0.4
